iter	Passed	Remaining
0	0	53
1	1	51
2	1	49
3	1	43
4	2	41
5	2	39
6	2	38
7	3	37
8	3	36
9	3	35
10	4	35
11	4	34
12	5	33
13	5	33
14	5	32
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	7	30
21	8	29
22	8	29
23	9	28
24	9	28
25	9	27
26	10	27
27	10	27
28	10	26
29	11	26
30	11	26
31	12	26
32	12	25
33	13	25
34	13	24
35	13	24
36	14	24
37	14	23
38	14	23
39	15	23
40	15	22
41	15	22
42	16	21
43	16	21
44	17	21
45	17	20
46	17	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	20	17
53	20	17
54	20	17
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	22	14
61	23	14
62	23	13
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	28	9
75	28	9
76	29	8
77	29	8
78	30	7
79	30	7
80	30	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	33	4
89	34	3
90	34	3
91	34	3
92	35	2
93	35	2
94	35	1
95	36	1
96	36	1
97	36	0
98	37	0
99	37	0
